brand	city	stated_state	actual_state	lat	lon	address
shell	Winnsboro	SC	NC/TN	35.81879	-84.26709	31 US HIGHWAY 321 BYP N
shoprite	Pearl River	NY	NONE	41.061731	-71.011788	46 N Middletown Rd
subway	Gallup	AZ	NM	35.6593	-109.0428	1575 DState Hwy 264 Tse Bonito
subway	Big Springs	CO	NE	41.0504	-102.0692	109 Circle Rd, Pilot Travel Center #904
subway	Garden City	ID	UT	41.9469	-111.3939	25 N Bear Lake Boulevard
subway	Kansas City	KS	MO	39.0413	-94.5721	1141 Emanuel Cleaver Blvd
subway	(empty)	MS	AR/TN	35.0199	-89.8306	4730 Riverdale Road, Unit 300, Gleneagles Court Shopping Ctr
subway	(empty)	MS	AR/TN	35.0752	-89.9507	3371 Lamar Ave., Love's Travel Stop, #344
subway	(empty)	MS	AR/TN	35.0519	-89.9528	3335 Winchester Rd
subway	(empty)	MS	AR/TN	35.021	-89.9357	3842 E Shelby Drive
subway	(empty)	MS	AR/TN	35.0283	-90.026	4405 Elvis Presley Blvd
subway	Chesapeake	NC	VA	36.6539	-76.233	201 Hill Crest Parkway, Wal-Mart #3644
subway	(empty)	OK	AR/TX	35.3388	-94.423	4700 Towson Ave
subway	(empty)	OK	AR/TX	35.2983	-94.4095	8901 Jenny Lind Rd, #5B, Fiana Hills Mall
subway	Grantsville	PA	MD/WV	39.6931	-79.1576	26 South Yoder Street, Grantsville Exxon/C-Store
subway	Morgantown	PA	WV	39.6856	-79.9193	1055 Pt. Marion Rd, BFS C-Store/Gas Station
subway	Bellingham	RI	MA	42.0206	-71.4949	170 Pulaski Blvd
subway	Littleton	VA	NC	36.5315	-77.9448	2377 Eaton Ferry Rd, Highway 903, Subway/Coffee Concept
subway	S Beloit	WI	IL/MI	42.4917	-88.9969	6070 N Gardner St, Road Ranger Truck Stop
sunoco	Apalachicola	FL	LA/MS	31.18754	-90.0123	243 US HIGHWAY 98
sunoco	Potts Camp	MS	TN	35.65022	-88.13256	6769 CHURCH AVE
sunoco	Zanesville	OH	IL	39.954822	-89.07391	4106 WEST PIKE
sunoco	Norristown	PA	MI	42.2535	-83.580901	1982-84 WEST MAIN STREET
sunoco	Odessa	TX	NONE	31.848026	102.403163	1523 HARLESS AVE
sunoco	Pound	VA	NJ/PA	39.951242	-75.17758	8106B MAIN STRET
super_8	Redding	CA	NONE	40.599581	122.385107	532 N. Market St.
taco_bell	Perkins	OK	KS	37.379278	-97.34836	250 W. Highway 33
travelodge	Branson	MO	AR	35.651996	-93.284092	3311 Shepherd of Hills Expy
ulta	(empty)	MO	MD	38.339874	-75.109215	12641-216 Ocean Gateway, Ste 216
wyndham	Redding	CA	NONE	40.599581	122.385107	532 N. Market St.
wyndham	Branson	MO	AR	35.651996	-93.284092	3311 Shepherd of Hills Expy
wyndham	Macedon	NY	NONE	43.06374	77.35958	350 NY State Rt. 31
ymca	Memphis	TN	AR/MS	34.979815	-89.97759	7171 Goodlett Farms Parkway
yogurtland	Newberry Springs	CA	KS/MO	37.09024	-95.712891	44230 National Trails Hwy
yogurtland	Delano	CA	KS/MO	37.09024	-95.712891	530 Woollomes Ave
zaxbys	Bozeman	MT	AK	58.11604	-135.44887	910 Technology Blvd (TEST LOCATION)
